#SampleID	Description	country	Env	SourceSink
864.12.C.noH.addV.2010a.lane2.NoIndex	block twelve-control, n watering, vegetation 12.C.noH.addV.2010a	GAZ:Mongolia	steppe soil	source
864.12.C.noH.noV.2010b.lane2.NoIndex	block twelve-control, n watering, n vegetation 12.C.noH.noV.2010b	GAZ:Mongolia	steppe soil	source
864.12.CON.addV.noG.addW.lane2.NoIndex	block twelve-control,vegetation, n grazing, watering 12.CON.addV.noG.addW	GAZ:Mongolia	steppe soil	source
864.12.CON.addV.noG.noW.lane2.NoIndex	block twelve-control,vegetation, n grazing, n watering 12.CON.addV.noG.noW	GAZ:Mongolia	steppe soil	source
864.12.CON.addV.noW.lane2.NoIndex	block twelve-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 12.CON.addV.noW	GAZ:Mongolia	steppe soil	source
864.12.CON.addV.noW.Fes.lane2.NoIndex	block twelve-taken under FESTUCA-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 12.CON.addV.noW.Fes	GAZ:Mongolia	steppe soil	source
864.12.CON.addV.noW.Leg.lane2.NoIndex	block twelve-taken under a LEGUME-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 12.CON.addV.noW.Leg	GAZ:Mongolia	steppe soil	source
864.12.CON.addV.noW.Pot.lane2.NoIndex	block twelve-taken under POTENTILLA-control,vegetation, n grazing, n watering (warming nt taken b/c too early in the season) 12.CON.addV.noW.Pot	GAZ:Mongolia	steppe soil	source
864.12.OTC.addH.addV.2010a.lane2.NoIndex	block twelve-warming, watering, vegetation 12.OTC.addH.addV.2010a	GAZ:Mongolia	steppe soil	source
864.12.OTC.addH.noV.2010a.lane2.NoIndex	block twelve-warming, watering, n vegetation 12.OTC.addH.noV.2010a	GAZ:Mongolia	steppe soil	source
